BIRT	FAMC	{0:1}
CHR	FAMC	{0:1}
SLGC	FAMC	{1:1}
ADOP	ADOP-FAMC	{0:1}
record-INDI	FAMS	{0:M}
record-INDI	FCOM	{0:M}
record-OBJE	FILE	{1:M}
FILE	FORM	{1:1}
FILE-TRAN	FORM	{1:1}
PLAC	PLAC-FORM	{0:1}
HEAD-PLAC	HEAD-PLAC-FORM	{1:1}
HEAD	GEDC	{1:1}
INDI-NAME	GIVN	{0:M}
NAME-TRAN	GIVN	{0:M}
record-INDI	GRAD	{0:M}
CROP	HEIGHT	{0:1}
record-FAM	FAM-HUSB	{0:1}
record-INDI	IDNO	{0:M}
record-INDI	IMMI	{0:M}
record-INDI	INIL	{0:M}
NAME-TRAN	LANG	{1:1}
NOTE	LANG	{0:1}
NOTE-TRAN	LANG	{0:1}
PLAC	LANG	{0:1}
PLAC-TRAN	LANG	{1:1}
TEXT	LANG	{0:1}
record-SNOTE	LANG	{0:1}
HEAD	HEAD-LANG	{0:1}
record-SUBM	SUBM-LANG	{0:M}
MAP	LATI	{1:1}
CROP	LEFT	{0:1}
MAP	LONG	{1:1}
PLAC	MAP	{0:1}
record-FAM	MARB	{0:M}
record-FAM	MARC	{0:M}
record-FAM	MARL	{0:M}
record-FAM	MARR	{0:M}
record-FAM	MARS	{0:M}
CALN	MEDI	{0:1}
FORM	MEDI	{0:1}
NOTE	MIME	{0:1}
NOTE-TRAN	MIME	{0:1}
TEXT	MIME	{0:1}
record-SNOTE	MIME	{0:1}
HEAD-SOUR	NAME	{0:1}
record-REPO	NAME	{1:1}
record-SUBM	NAME	{1:1}
record-INDI	INDI-NAME	{0:M}
record-INDI	NATI	{0:M}
record-INDI	NATU	{0:M}
record-FAM	FAM-NCHI	{0:M}
record-INDI	INDI-NCHI	{0:M}
INDI-NAME	NICK	{0:M}
NAME-TRAN	NICK	{0:M}
record-INDI	NMR	{0:M}
record-FAM	NO	{0:M}
record-INDI	NO	{0:M}
HEAD	NOTE	{0:1}
record-FAM	NOTE	{0:M}
record-INDI	NOTE	{0:M}
record-OBJE	NOTE	{0:M}
record-REPO	NOTE	{0:M}
record-SOUR	NOTE	{0:M}
record-SUBM	NOTE	{0:M}
INDI-NAME	NPFX	{0:M}
NAME-TRAN	NPFX	{0:M}
INDI-NAME	NSFX	{0:M}
NAME-TRAN	NSFX	{0:M}
record-FAM	OBJE	{0:M}
record-INDI	OBJE	{0:M}
record-SOUR	OBJE	{0:M}
record-SUBM	OBJE	{0:M}
record-INDI	OCCU	{0:M}
record-INDI	ORDN	{0:M}
SOUR	PAGE	{0:1}
INDI-FAMC	PEDI	{0:1}
HEAD	SCHMA	{0:1}
record-INDI	SEX	{0:1}
